company_id,company_name,coderepo_qid,coderepo_name,coderepo_stack_name,coderepo_role_type,question_library_source,question_author_company_name,coderepo_task_qid,coderepo_task_name,coderepo_task_type_adj,usage_type,attempt_id,attempt_start_date,product_rating
123720,Blue Origin,2265531,MovieDB Code Repo (MERN),MERN,fullstack,library,HackerRank,2303666,Feature: Trending Movies,feature,interview,7952128,2026-02-25,
123720,Blue Origin,2395446,MovieDB Code Repo (Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,2395424,Feature: Trending Movies,feature,interview,7952128,2026-02-25,
123720,Blue Origin,2395446,MovieDB Code Repo (Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,2395447,Bug Fix: Home Page Recommendations,bugfix,interview,7960227,2026-02-26,
123720,Blue Origin,2395446,MovieDB Code Repo (Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,2395424,Feature: Trending Movies,feature,interview,7877750,2026-02-13,
123720,Blue Origin,2395446,MovieDB Code Repo (Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,2395536,Feature: Edit Profile,feature,interview,7960227,2026-02-26,
132255,Rivian,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1852807,Bugfix: Inventory Management,bugfix,interview,7275670,2025-10-27,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894242,Feature: Add Note Functionality,feature,interview,7275670,2025-10-27,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894999,Feature: Edit Note Functionality,feature,interview,7315593,2025-11-03,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1904317,Feature: Add password protected notes,feature,interview,7757095,2026-01-27,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894247,Feature: Delete Note Functionality,feature,interview,7757095,2026-01-27,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1904167,"Feature: Implement filter, search and sort",feature,interview,7757095,2026-01-27,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894999,Feature: Edit Note Functionality,feature,interview,7282387,2025-11-03,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894242,Feature: Add Note Functionality,feature,interview,7757095,2026-01-27,
132255,Rivian,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894999,Feature: Edit Note Functionality,feature,interview,7757095,2026-01-27,
